scraped_at,source_updated_at,facility,status,capacity_percentage,badge_text,raw_text,source
2026-06-18T02:07:05+00:00,2026-06-18T10:07:00+08:00,Clementi ActiveSG Gym,open,65,65% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":65,""type"":""gym"",""isClosed"":false}",api_response
2026-06-18T07:10:23+00:00,2026-06-18T15:10:00+08:00,Clementi ActiveSG Gym,open,56,56% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":56,""type"":""gym"",""isClosed"":false}",api_response
2026-06-18T11:41:16+00:00,2026-06-18T19:41:00+08:00,Clementi ActiveSG Gym,open,74,74% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":74,""type"":""gym"",""isClosed"":false}",api_response
2026-06-18T14:36:17+00:00,2026-06-18T22:36:00+08:00,Clementi ActiveSG Gym,closed,,Closed,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":0,""type"":""gym"",""isClosed"":true}",api_response
2026-06-19T02:07:19+00:00,2026-06-19T10:07:00+08:00,Clementi ActiveSG Gym,open,57,57% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":57,""type"":""gym"",""isClosed"":false}",api_response
2026-06-19T02:19:50+00:00,2026-06-19T10:19:00+08:00,Clementi ActiveSG Gym,open,58,58% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":58,""type"":""gym"",""isClosed"":false}",api_response
2026-06-19T02:34:53+00:00,2026-06-19T10:34:00+08:00,Clementi ActiveSG Gym,open,49,49% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":49,""type"":""gym"",""isClosed"":false}",api_response
2026-06-19T07:41:12+00:00,2026-06-19T15:41:00+08:00,Clementi ActiveSG Gym,open,44,44% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":44,""type"":""gym"",""isClosed"":false}",api_response
2026-06-19T16:19:00+00:00,2026-06-20T00:18:00+08:00,Clementi ActiveSG Gym,closed,,Closed,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":0,""type"":""gym"",""isClosed"":true}",api_response
2026-06-20T01:29:33+00:00,2026-06-20T09:29:00+08:00,Clementi ActiveSG Gym,open,36,36% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":36,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T01:37:25+00:00,2026-06-20T09:37:00+08:00,Clementi ActiveSG Gym,open,36,36% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":36,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T01:57:07+00:00,2026-06-20T09:57:00+08:00,Clementi ActiveSG Gym,open,43,43% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":43,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T06:00:29+00:00,2026-06-20T14:00:00+08:00,Clementi ActiveSG Gym,open,24,24% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":24,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T06:17:12+00:00,2026-06-20T14:17:00+08:00,Clementi ActiveSG Gym,open,28,28% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":28,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T06:42:10+00:00,2026-06-20T14:42:00+08:00,Clementi ActiveSG Gym,open,41,41% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":41,""type"":""gym"",""isClosed"":false}",api_response
2026-06-20T15:26:19+00:00,2026-06-20T23:26:00+08:00,Clementi ActiveSG Gym,closed,,Closed,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":0,""type"":""gym"",""isClosed"":true}",api_response
2026-06-21T01:40:58+00:00,2026-06-21T09:40:00+08:00,Clementi ActiveSG Gym,open,46,46% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":46,""type"":""gym"",""isClosed"":false}",api_response
2026-06-21T02:08:45+00:00,2026-06-21T10:08:00+08:00,Clementi ActiveSG Gym,open,44,44% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":44,""type"":""gym"",""isClosed"":false}",api_response
2026-06-21T16:12:22+00:00,2026-06-22T00:12:00+08:00,Clementi ActiveSG Gym,closed,,Closed,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":0,""type"":""gym"",""isClosed"":true}",api_response
2026-06-22T01:42:19+00:00,2026-06-22T09:42:00+08:00,Clementi ActiveSG Gym,open,69,69% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":69,""type"":""gym"",""isClosed"":false}",api_response
2026-06-22T02:12:24+00:00,2026-06-22T10:12:00+08:00,Clementi ActiveSG Gym,open,64,64% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":64,""type"":""gym"",""isClosed"":false}",api_response
2026-06-22T07:43:02+00:00,2026-06-22T15:43:00+08:00,Clementi ActiveSG Gym,open,72,72% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":72,""type"":""gym"",""isClosed"":false}",api_response
